Diagnosed Diabetes; Total; Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2009
Data downloaded on 30-July-2021
State,Percentage,Lower Limit, Upper Limit
Median of States,8.0,7.7,8.8
Alabama,10.9,10.0,11.9
Alaska,6.5,5.3,8.0
Arizona,8.2,7.1,9.3
Arkansas,9.5,8.4,10.6
California,9.2,8.7,9.7
Colorado,5.9,5.4,6.4
Connecticut,6.0,5.5,6.7
Delaware,7.5,6.6,8.5
District of Columbia,7.9,7.0,8.9
Florida,9.6,8.6,10.7
Georgia,9.9,8.9,11.0
Hawaii,7.9,7.1,8.7
Idaho,7.8,7.1,8.5
Illinois,7.9,7.2,8.8
Indiana,8.9,8.3,9.5
Iowa,6.9,6.3,7.6
Kansas,8.1,7.7,8.6
Kentucky,11.0,10.1,11.9
Louisiana,10.7,10.0,11.5
Maine,7.3,6.7,7.9
Maryland,9.0,8.2,9.8
Massachusetts,7.5,7.0,8.1
Michigan,8.8,8.2,9.4
Minnesota,6.1,5.5,6.8
Mississippi,10.8,10.2,11.5
Missouri,7.4,6.6,8.2
Montana,6.1,5.6,6.7
Nebraska,7.0,6.5,7.6
Nevada,7.9,6.8,9.2
New Hampshire,6.6,5.9,7.3
New Jersey,8.2,7.6,9.0
New Mexico,8.2,7.5,9.0
New York,8.4,7.7,9.2
North Carolina,9.2,8.5,10.0
North Dakota,6.9,6.2,7.7
Ohio,9.5,8.8,10.2
Oklahoma,10.4,9.7,11.2
Oregon,7.9,6.9,9.0
Pennsylvania,8.1,7.5,8.8
Rhode Island,6.4,5.9,7.0
South Carolina,9.7,8.9,10.6
South Dakota,6.6,6.1,7.3
Tennessee,9.8,8.8,10.9
Texas,9.5,8.7,10.4
Utah,6.9,6.4,7.5
Vermont,5.5,5.0,6.1
Virginia,7.9,7.1,8.8
Washington,7.5,7.1,7.9
West Virginia,11.1,10.1,12.1
Wisconsin,7.7,6.8,8.6
Wyoming,6.5,5.9,7.2
Guam,10.4,8.5,12.5
Puerto Rico,12.9,11.9,13.9
Virgin Islands of the U.S.,8.3,7.2,9.5
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
