Diagnosed Diabetes; Total; Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2018
Data downloaded on 29-July-2021
State,Percentage,Lower Limit, Upper Limit
Median of States,9.8,9.2,10.5
Alabama,12.7,11.8,13.6
Alaska,8.7,7.4,10.2
Arizona,9.6,8.6,10.6
Arkansas,12.4,11.3,13.5
California,9.7,9.0,10.4
Colorado,6.6,6.1,7.1
Connecticut,8.4,7.8,9.0
Delaware,10.1,9.2,11.1
District of Columbia,9.2,8.3,10.2
Florida,10.5,9.6,11.5
Georgia,11.7,11.0,12.4
Hawaii,10.3,9.4,11.2
Idaho,9.2,8.2,10.3
Illinois,9.0,8.2,9.8
Indiana,11.2,10.4,12.0
Iowa,8.8,8.2,9.4
Kansas,10.4,9.8,11.1
Kentucky,12.1,11.1,13.1
Louisiana,12.9,11.9,14.0
Maine,8.7,8.0,9.5
Maryland,10.8,10.2,11.4
Massachusetts,7.7,6.9,8.5
Michigan,10.2,9.5,10.9
Minnesota,7.9,7.5,8.4
Mississippi,12.9,12.0,13.9
Missouri,10.2,9.3,11.1
Montana,8.1,7.2,9.0
Nebraska,8.8,8.3,9.5
Nevada,9.6,8.4,11.0
New Hampshire,8.7,7.9,9.5
New Jersey,9.4,8.1,11.0
New Mexico,11.2,10.3,12.2
New York,9.8,9.3,10.3
North Carolina,11.0,10.0,12.0
North Dakota,8.7,7.9,9.6
Ohio,10.7,10.0,11.4
Oklahoma,11.4,10.5,12.4
Oregon,10.0,9.1,11.0
Pennsylvania,9.9,9.0,10.8
Rhode Island,9.4,8.6,10.4
South Carolina,11.6,10.9,12.3
South Dakota,8.2,7.2,9.2
Tennessee,12.2,11.1,13.3
Texas,12.0,10.9,13.3
Utah,8.7,8.1,9.4
Vermont,7.6,6.9,8.4
Virginia,9.5,8.8,10.2
Washington,9.0,8.4,9.6
West Virginia,13.4,12.5,14.5
Wisconsin,7.4,6.6,8.3
Wyoming,7.9,7.1,8.8
Guam,15.4,13.2,17.8
Puerto Rico,13.1,12.2,14.1
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
