Diagnosed Diabetes; Total; Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2014
Data downloaded on 30-July-2021
State,Percentage,Lower Limit, Upper Limit
Median of States,9.2,8.7,9.8
Alabama,11.8,11.0,12.6
Alaska,7.6,6.7,8.7
Arizona,9.1,8.5,9.8
Arkansas,11.5,10.4,12.6
California,9.9,9.2,10.7
Colorado,7.0,6.5,7.5
Connecticut,8.0,7.3,8.7
Delaware,9.8,8.8,10.9
District of Columbia,9.2,8.0,10.5
Florida,9.4,8.8,10.2
Georgia,11.0,10.2,11.9
Hawaii,8.9,8.0,9.9
Idaho,7.1,6.3,7.9
Illinois,9.4,8.5,10.3
Indiana,9.8,9.2,10.4
Iowa,8.4,7.7,9.0
Kansas,9.5,9.0,10.0
Kentucky,11.4,10.5,12.3
Louisiana,10.4,9.7,11.2
Maine,7.8,7.2,8.5
Maryland,9.2,8.5,9.9
Massachusetts,8.8,8.2,9.5
Michigan,9.0,8.4,9.6
Minnesota,7.5,7.1,7.9
Mississippi,11.9,10.8,13.1
Missouri,10.0,9.1,11.0
Montana,7.6,6.9,8.4
Nebraska,8.4,7.9,8.9
Nevada,8.9,7.8,10.1
New Hampshire,7.9,7.1,8.7
New Jersey,8.7,8.1,9.3
New Mexico,10.4,9.6,11.3
New York,9.2,8.5,10.0
North Carolina,9.9,9.2,10.6
North Dakota,8.0,7.2,8.8
Ohio,10.3,9.6,11.0
Oklahoma,10.9,10.2,11.6
Oregon,8.0,7.3,8.8
Pennsylvania,9.6,9.0,10.3
Rhode Island,8.3,7.6,9.1
South Carolina,10.7,10.1,11.4
South Dakota,8.2,7.3,9.3
Tennessee,11.7,10.7,12.8
Texas,10.8,10.1,11.5
Utah,7.7,7.2,8.2
Vermont,7.0,6.3,7.7
Virginia,9.0,8.4,9.6
Washington,8.2,7.6,8.8
West Virginia,12.0,11.2,12.9
Wisconsin,8.0,7.2,8.8
Wyoming,7.8,6.9,8.8
Guam,11.8,10.3,13.5
Puerto Rico,14.2,13.3,15.2
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
