Diagnosed Diabetes; Total; Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2006
Data downloaded on 30-July-2021
State,Percentage,Lower Limit, Upper Limit
Median of States,7.4,7.0,7.9
Alabama,9.5,8.5,10.6
Alaska,7.0,5.6,8.7
Arizona,8.3,7.0,9.7
Arkansas,7.7,7.0,8.5
California,8.5,7.6,9.4
Colorado,5.5,5.0,6.2
Connecticut,6.0,5.5,6.6
Delaware,7.7,6.8,8.7
District of Columbia,8.5,7.6,9.6
Florida,7.6,7.0,8.3
Georgia,9.7,9.0,10.5
Hawaii,7.6,6.9,8.4
Idaho,6.8,6.1,7.6
Illinois,8.1,7.3,9.0
Indiana,7.9,7.2,8.6
Iowa,6.7,6.1,7.3
Kansas,7.1,6.5,7.7
Kentucky,9.5,8.6,10.5
Louisiana,9.0,8.4,9.8
Maine,6.2,5.5,7.0
Maryland,7.8,7.2,8.5
Massachusetts,6.2,5.7,6.7
Michigan,8.7,7.9,9.5
Minnesota,5.6,5.0,6.4
Mississippi,10.6,9.8,11.5
Missouri,6.9,6.1,7.8
Montana,5.8,5.2,6.5
Nebraska,7.1,6.5,7.7
Nevada,7.6,6.6,8.7
New Hampshire,7.2,6.4,8.0
New Jersey,7.2,6.7,7.7
New Mexico,7.0,6.4,7.7
New York,7.4,6.7,8.1
North Carolina,9.0,8.5,9.5
North Dakota,6.3,5.6,7.1
Ohio,6.4,5.5,7.4
Oklahoma,9.6,8.9,10.3
Oregon,6.5,5.8,7.2
Pennsylvania,7.7,7.0,8.5
Rhode Island,7.2,6.4,8.1
South Carolina,9.2,8.5,9.9
South Dakota,6.1,5.5,6.7
Tennessee,10.3,9.3,11.5
Texas,8.4,7.5,9.4
Utah,6.7,6.0,7.5
Vermont,5.5,5.0,6.0
Virginia,7.3,6.4,8.4
Washington,7.0,6.7,7.4
West Virginia,10.8,9.8,11.9
Wisconsin,6.0,5.3,6.7
Wyoming,6.1,5.4,6.8
Guam,No Data,No Data,No Data
Puerto Rico,11.9,11.0,12.8
Virgin Islands of the U.S.,9.4,8.2,10.6
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
