Diagnosed Diabetes; Total; Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2011
Data downloaded on 30-July-2021
State,Percentage,Lower Limit, Upper Limit
Median of States,9.0,8.5,9.5
Alabama,10.9,10.1,11.7
Alaska,8.6,7.2,10.2
Arizona,9.0,7.9,10.2
Arkansas,10.3,9.3,11.5
California,8.5,7.9,9.0
Colorado,6.6,6.1,7.2
Connecticut,8.5,7.7,9.3
Delaware,8.8,7.9,9.9
District of Columbia,9.5,8.5,10.6
Florida,9.0,8.3,9.7
Georgia,10.2,9.5,10.9
Hawaii,7.8,7.1,8.6
Idaho,9.0,8.1,10.0
Illinois,9.4,8.4,10.5
Indiana,9.6,8.9,10.3
Iowa,7.3,6.7,7.9
Kansas,8.9,8.5,9.4
Kentucky,10.0,9.3,10.8
Louisiana,11.4,10.6,12.3
Maine,8.3,7.8,8.9
Maryland,8.9,8.2,9.7
Massachusetts,7.5,7.0,8.0
Michigan,9.2,8.5,9.9
Minnesota,6.9,6.4,7.5
Mississippi,11.6,10.9,12.4
Missouri,9.4,8.5,10.3
Montana,7.0,6.4,7.6
Nebraska,7.8,7.3,8.2
Nevada,10.0,8.7,11.6
New Hampshire,7.8,7.1,8.6
New Jersey,8.1,7.5,8.6
New Mexico,9.4,8.7,10.1
New York,9.7,8.9,10.5
North Carolina,10.2,9.5,10.9
North Dakota,7.6,6.9,8.4
Ohio,9.1,8.4,9.8
Oklahoma,10.5,9.7,11.3
Oregon,8.4,7.6,9.3
Pennsylvania,8.4,7.8,9.0
Rhode Island,7.8,7.0,8.6
South Carolina,11.2,10.5,12.0
South Dakota,8.7,7.7,9.7
Tennessee,10.3,9.1,11.7
Texas,10.3,9.6,11.0
Utah,7.4,6.9,7.9
Vermont,6.8,6.2,7.5
Virginia,9.9,8.9,10.9
Washington,8.5,7.9,9.1
West Virginia,10.6,9.8,11.5
Wisconsin,7.6,6.8,8.5
Wyoming,7.8,6.9,8.7
Guam,11.3,9.5,13.3
Puerto Rico,13.3,12.4,14.1
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
