Diagnosed Diabetes; Total; Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2008
Data downloaded on 30-July-2021
State,Percentage,Lower Limit, Upper Limit
Median of States,7.9,7.4,8.6
Alabama,10.6,9.7,11.5
Alaska,7.3,5.8,9.2
Arizona,7.6,6.6,8.7
Arkansas,8.9,8.1,9.8
California,8.7,8.1,9.4
Colorado,6.1,5.6,6.7
Connecticut,6.3,5.7,7.0
Delaware,7.8,6.9,8.9
District of Columbia,8.3,7.5,9.2
Florida,8.4,7.7,9.3
Georgia,10.2,9.2,11.2
Hawaii,7.7,6.9,8.6
Idaho,7.0,6.3,7.7
Illinois,8.2,7.4,9.0
Indiana,9.2,8.2,10.3
Iowa,6.4,5.8,7.1
Kansas,7.7,7.1,8.3
Kentucky,9.4,8.7,10.2
Louisiana,10.2,9.5,11.1
Maine,7.4,6.8,8.1
Maryland,8.4,7.7,9.1
Massachusetts,6.8,6.4,7.2
Michigan,8.6,8.0,9.3
Minnesota,5.7,5.1,6.4
Mississippi,10.9,10.0,11.7
Missouri,8.7,7.7,9.8
Montana,5.9,5.3,6.5
Nebraska,7.3,6.7,8.0
Nevada,8.6,7.6,9.8
New Hampshire,6.8,6.2,7.5
New Jersey,8.0,7.4,8.5
New Mexico,7.6,6.8,8.3
New York,8.0,7.3,8.8
North Carolina,9.1,8.6,9.7
North Dakota,7.0,6.3,7.9
Ohio,9.3,8.7,9.9
Oklahoma,9.5,8.8,10.2
Oregon,6.5,5.8,7.3
Pennsylvania,7.9,7.3,8.5
Rhode Island,7.1,6.3,7.9
South Carolina,9.5,8.8,10.3
South Dakota,6.0,5.5,6.6
Tennessee,10.0,9.0,11.0
Texas,10.0,9.3,10.8
Utah,6.9,6.2,7.6
Vermont,5.9,5.4,6.5
Virginia,7.7,7.0,8.5
Washington,6.8,6.4,7.2
West Virginia,10.8,9.9,11.9
Wisconsin,6.9,6.1,7.8
Wyoming,7.0,6.3,7.8
Guam,9.4,7.2,12.1
Puerto Rico,12.3,11.4,13.2
Virgin Islands of the U.S.,10.5,9.1,12.0
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
