Diagnosed Diabetes; Total; Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2001
Data downloaded on 30-July-2021
State,Percentage,Lower Limit, Upper Limit
Median of States,6.3,6.0,6.9
Alabama,9.4,8.4,10.6
Alaska,4.9,3.9,6.3
Arizona,6.1,5.1,7.2
Arkansas,7.3,6.3,8.4
California,6.6,5.8,7.6
Colorado,5.0,4.0,6.2
Connecticut,6.0,5.4,6.7
Delaware,6.9,6.0,8.0
District of Columbia,8.5,7.2,10.1
Florida,7.2,6.4,8.1
Georgia,7.0,6.2,7.9
Hawaii,6.0,5.0,7.2
Idaho,5.4,4.7,6.1
Illinois,6.5,5.7,7.4
Indiana,6.4,5.6,7.2
Iowa,5.3,4.6,6.0
Kansas,5.6,4.9,6.3
Kentucky,6.5,5.9,7.2
Louisiana,7.6,6.9,8.4
Maine,6.4,5.4,7.6
Maryland,7.0,6.1,8.1
Massachusetts,5.4,4.9,6.0
Michigan,7.2,6.3,8.1
Minnesota,4.3,3.7,5.0
Mississippi,9.2,8.1,10.4
Missouri,6.2,5.4,7.2
Montana,5.3,4.4,6.2
Nebraska,5.0,4.3,5.8
Nevada,5.4,4.4,6.7
New Hampshire,5.4,4.8,6.2
New Jersey,6.9,6.1,7.8
New Mexico,6.2,5.4,7.2
New York,6.4,5.6,7.4
North Carolina,6.6,5.8,7.5
North Dakota,5.0,4.2,5.9
Ohio,7.0,6.1,8.0
Oklahoma,7.4,6.5,8.3
Oregon,5.4,4.6,6.4
Pennsylvania,6.2,5.4,7.0
Rhode Island,6.2,5.4,7.1
South Carolina,7.9,7.0,9.0
South Dakota,5.8,5.2,6.5
Tennessee,7.6,6.6,8.8
Texas,7.3,6.6,8.1
Utah,4.6,3.8,5.5
Vermont,5.1,4.4,5.8
Virginia,6.0,5.2,7.0
Washington,5.7,5.0,6.5
West Virginia,8.0,7.1,9.1
Wisconsin,5.4,4.6,6.2
Wyoming,4.6,3.8,5.4
Guam,11.8,9.0,15.3
Puerto Rico,10.2,9.1,11.3
Virgin Islands of the U.S.,7.3,6.1,8.7
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
