Diagnosed Diabetes; Total; Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2012
Data downloaded on 30-July-2021
State,Percentage,Lower Limit, Upper Limit
Median of States,9.0,8.5,9.6
Alabama,11.1,10.3,11.9
Alaska,7.2,6.2,8.4
Arizona,10.1,9.0,11.3
Arkansas,10.3,9.3,11.3
California,9.6,8.9,10.2
Colorado,7.2,6.7,7.8
Connecticut,8.2,7.4,9.0
Delaware,8.7,7.8,9.7
District of Columbia,9.0,7.9,10.2
Florida,9.9,8.9,10.9
Georgia,9.6,8.8,10.5
Hawaii,7.0,6.1,8.0
Idaho,7.8,6.9,8.8
Illinois,8.9,7.9,9.9
Indiana,10.1,9.4,10.8
Iowa,8.6,8.0,9.3
Kansas,8.8,8.2,9.4
Kentucky,9.8,9.0,10.5
Louisiana,11.5,10.6,12.4
Maine,8.2,7.6,8.9
Maryland,9.4,8.7,10.1
Massachusetts,7.7,7.2,8.2
Michigan,9.4,8.7,10.1
Minnesota,6.8,6.3,7.4
Mississippi,11.7,10.9,12.6
Missouri,9.6,8.8,10.6
Montana,6.2,5.7,6.8
Nebraska,7.4,7.0,7.9
Nevada,8.5,7.4,9.7
New Hampshire,7.8,7.2,8.5
New Jersey,8.4,7.9,9.0
New Mexico,9.4,8.8,10.1
New York,9.0,8.1,10.0
North Carolina,9.7,9.1,10.3
North Dakota,7.8,7.0,8.7
Ohio,10.5,9.8,11.1
Oklahoma,10.6,9.9,11.4
Oregon,9.1,8.2,10.1
Pennsylvania,8.9,8.4,9.5
Rhode Island,8.9,8.0,9.8
South Carolina,10.6,9.9,11.3
South Dakota,7.0,6.3,7.9
Tennessee,10.9,10.1,11.8
Texas,10.6,9.9,11.4
Utah,7.9,7.3,8.4
Vermont,6.4,5.7,7.2
Virginia,9.8,9.1,10.6
Washington,8.2,7.7,8.8
West Virginia,11.1,10.3,12.0
Wisconsin,7.5,6.6,8.5
Wyoming,8.4,7.5,9.4
Guam,10.4,8.7,12.2
Puerto Rico,15.2,14.4,16.2
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
