Diagnosed Diabetes; Total; Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2007
Data downloaded on 30-July-2021
State,Percentage,Lower Limit, Upper Limit
Median of States,7.8,7.1,8.4
Alabama,9.8,9.0,10.6
Alaska,6.5,5.2,8.1
Arizona,8.2,7.1,9.6
Arkansas,8.8,8.0,9.6
California,7.8,7.1,8.6
Colorado,5.6,5.2,6.1
Connecticut,6.8,6.2,7.6
Delaware,8.3,7.4,9.3
District of Columbia,8.4,7.5,9.5
Florida,7.7,7.2,8.2
Georgia,10.7,9.9,11.6
Hawaii,7.1,6.4,7.9
Idaho,7.8,7.1,8.6
Illinois,8.7,7.9,9.6
Indiana,8.1,7.4,8.9
Iowa,6.2,5.6,6.9
Kansas,7.0,6.4,7.6
Kentucky,9.4,8.6,10.3
Louisiana,10.0,9.3,10.9
Maine,7.1,6.4,7.8
Maryland,8.1,7.5,8.8
Massachusetts,7.1,6.7,7.6
Michigan,8.5,7.8,9.2
Minnesota,5.5,4.9,6.2
Mississippi,10.9,10.2,11.6
Missouri,7.5,6.7,8.4
Montana,6.1,5.5,6.8
Nebraska,6.8,6.0,7.6
Nevada,8.0,7.0,9.2
New Hampshire,6.7,6.1,7.3
New Jersey,8.8,8.0,9.6
New Mexico,7.5,6.7,8.3
New York,7.8,7.2,8.5
North Carolina,8.9,8.4,9.4
North Dakota,5.8,5.2,6.5
Ohio,8.9,8.4,9.5
Oklahoma,9.6,8.9,10.4
Oregon,6.5,5.9,7.2
Pennsylvania,7.8,7.1,8.7
Rhode Island,6.8,6.1,7.6
South Carolina,9.2,8.5,9.9
South Dakota,6.3,5.7,6.9
Tennessee,11.5,10.2,13.0
Texas,10.7,10.1,11.3
Utah,6.7,5.9,7.5
Vermont,6.5,5.7,7.4
Virginia,7.9,7.2,8.7
Washington,7.0,6.7,7.4
West Virginia,9.8,8.9,10.7
Wisconsin,6.1,5.5,6.7
Wyoming,6.6,6.0,7.3
Guam,11.2,8.5,14.7
Puerto Rico,12.3,11.4,13.4
Virgin Islands of the U.S.,9.4,8.2,10.8
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
