Diagnosed Diabetes; Total; Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2004
Data downloaded on 30-July-2021
State,Percentage,Lower Limit, Upper Limit
Median of States,6.9,6.4,7.4
Alabama,7.9,7.0,8.8
Alaska,4.4,3.5,5.5
Arizona,6.5,5.5,7.7
Arkansas,6.7,6.0,7.5
California,7.5,6.6,8.5
Colorado,4.6,4.0,5.3
Connecticut,5.7,5.1,6.4
Delaware,6.9,6.0,8.0
District of Columbia,9.0,7.9,10.3
Florida,7.0,6.3,7.9
Georgia,7.9,7.0,8.8
Hawaii,No Data,No Data,No Data
Idaho,6.2,5.6,7.0
Illinois,6.0,5.3,6.9
Indiana,7.6,6.9,8.3
Iowa,5.9,5.3,6.6
Kansas,6.4,5.9,6.9
Kentucky,7.4,6.7,8.2
Louisiana,8.3,7.7,9.0
Maine,7.0,6.1,8.0
Maryland,7.3,6.4,8.4
Massachusetts,5.5,4.9,6.1
Michigan,7.5,6.8,8.3
Minnesota,5.1,4.5,5.8
Mississippi,9.5,8.8,10.4
Missouri,7.0,6.3,7.9
Montana,5.5,4.9,6.3
Nebraska,6.1,5.5,6.7
Nevada,6.5,5.4,7.8
New Hampshire,6.4,5.8,7.2
New Jersey,6.6,6.1,7.1
New Mexico,6.4,5.8,7.1
New York,7.4,6.6,8.2
North Carolina,8.4,7.9,9.0
North Dakota,5.4,4.7,6.3
Ohio,7.6,6.5,8.8
Oklahoma,7.7,7.1,8.4
Oregon,6.4,5.7,7.1
Pennsylvania,7.2,6.5,7.9
Rhode Island,6.9,6.1,7.7
South Carolina,8.2,7.6,8.9
South Dakota,6.2,5.6,6.9
Tennessee,8.2,7.2,9.2
Texas,8.1,7.4,8.9
Utah,5.8,5.1,6.6
Vermont,5.2,4.7,5.7
Virginia,7.2,6.4,8.0
Washington,6.4,6.1,6.9
West Virginia,10.0,9.0,11.1
Wisconsin,5.5,4.8,6.2
Wyoming,5.8,5.2,6.6
Guam,No Data,No Data,No Data
Puerto Rico,10.7,9.7,11.8
Virgin Islands of the U.S.,9.4,8.1,10.9
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
