Diagnosed Diabetes; Total; Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2002
Data downloaded on 30-July-2021
State,Percentage,Lower Limit, Upper Limit
Median of States,6.7,6.2,7.1
Alabama,8.4,7.4,9.4
Alaska,4.7,3.7,5.9
Arizona,6.4,5.4,7.5
Arkansas,7.5,6.7,8.4
California,8.0,6.9,9.1
Colorado,4.8,4.1,5.6
Connecticut,5.6,5.0,6.4
Delaware,6.9,6.0,8.0
District of Columbia,8.2,6.8,9.8
Florida,6.9,6.2,7.7
Georgia,7.5,6.7,8.4
Hawaii,5.6,4.9,6.3
Idaho,6.2,5.5,7.0
Illinois,6.9,6.1,7.7
Indiana,7.4,6.7,8.2
Iowa,6.2,5.4,7.1
Kansas,6.3,5.7,7.1
Kentucky,6.9,6.2,7.8
Louisiana,7.2,6.4,8.1
Maine,6.8,5.8,7.9
Maryland,7.0,6.1,8.0
Massachusetts,5.7,5.1,6.4
Michigan,7.9,7.2,8.7
Minnesota,4.9,4.3,5.6
Mississippi,8.6,7.7,9.5
Missouri,7.1,6.2,8.1
Montana,5.3,4.5,6.2
Nebraska,5.7,5.0,6.5
Nevada,6.3,5.2,7.6
New Hampshire,6.2,5.6,7.0
New Jersey,6.0,5.0,7.0
New Mexico,6.1,5.4,6.9
New York,7.1,6.3,8.1
North Carolina,7.3,6.5,8.2
North Dakota,5.9,5.1,6.8
Ohio,7.4,6.6,8.4
Oklahoma,6.6,6.0,7.2
Oregon,6.1,5.2,7.1
Pennsylvania,7.4,6.8,7.9
Rhode Island,5.4,4.7,6.2
South Carolina,8.4,7.4,9.4
South Dakota,6.0,5.3,6.8
Tennessee,8.4,7.4,9.5
Texas,7.6,6.9,8.4
Utah,5.2,4.3,6.1
Vermont,5.7,5.0,6.5
Virginia,6.4,5.6,7.4
Washington,5.9,5.2,6.8
West Virginia,9.3,8.4,10.3
Wisconsin,5.0,4.3,5.7
Wyoming,5.6,4.9,6.5
Guam,8.7,6.4,11.7
Puerto Rico,10.8,9.7,11.8
Virgin Islands of the U.S.,9.5,8.1,11.2
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
