Diagnosed Diabetes; Total; Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2000
Data downloaded on 30-July-2021
State,Percentage,Lower Limit, Upper Limit
Median of States,6.0,5.7,6.3
Alabama,7.3,6.2,8.6
Alaska,4.4,3.2,6.0
Arizona,5.9,4.2,8.3
Arkansas,5.9,5.0,6.9
California,7.1,6.0,8.4
Colorado,5.2,4.2,6.5
Connecticut,5.2,4.5,6.0
Delaware,6.3,5.2,7.7
District of Columbia,7.4,6.2,8.9
Florida,6.2,5.5,6.9
Georgia,7.1,6.3,8.1
Hawaii,5.1,4.5,5.9
Idaho,4.8,4.1,5.5
Illinois,6.2,5.3,7.1
Indiana,6.0,5.2,7.0
Iowa,5.6,4.9,6.5
Kansas,5.7,5.0,6.4
Kentucky,6.3,5.6,7.1
Louisiana,6.8,6.0,7.6
Maine,5.8,4.8,6.9
Maryland,6.5,5.7,7.5
Massachusetts,5.7,5.1,6.3
Michigan,7.0,6.1,8.1
Minnesota,4.8,4.1,5.8
Mississippi,7.6,6.5,8.8
Missouri,6.4,5.4,7.4
Montana,4.5,3.7,5.4
Nebraska,4.8,4.0,5.8
Nevada,6.8,5.1,9.0
New Hampshire,4.6,3.7,5.7
New Jersey,5.6,4.8,6.4
New Mexico,6.6,5.7,7.6
New York,6.2,5.3,7.2
North Carolina,6.5,5.6,7.4
North Dakota,5.0,4.0,6.2
Ohio,6.1,5.1,7.4
Oklahoma,5.4,4.6,6.2
Oregon,5.8,5.0,6.7
Pennsylvania,6.5,5.7,7.5
Rhode Island,5.8,5.0,6.7
South Carolina,7.2,6.2,8.2
South Dakota,5.4,4.8,6.2
Tennessee,7.0,6.0,8.1
Texas,6.5,5.7,7.3
Utah,5.7,4.7,7.0
Vermont,4.4,3.8,5.2
Virginia,6.3,5.0,7.9
Washington,5.5,4.8,6.4
West Virginia,7.0,6.1,8.1
Wisconsin,5.9,5.0,7.0
Wyoming,5.0,4.1,6.0
Guam,No Data,No Data,No Data
Puerto Rico,9.3,8.3,10.4
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
