Diagnosed Diabetes; 18-44 (Age); Adults Aged 18+ Years; Percentage; U.S. States; 2018
Data downloaded on 29-July-2021
State,Percentage,Lower Limit, Upper Limit
Median of States,3.1,2.9,3.5
Alabama,3.8,2.8,5.0
Alaska,3.5,2.1,5.6
Arizona,3.5,2.4,5.2
Arkansas,4.8,3.5,6.5
California,2.6,2.1,3.2
Colorado,2.1,1.6,2.7
Connecticut,2.5,1.9,3.2
Delaware,2.6,1.8,3.7
District of Columbia,2.1,1.3,3.3
Florida,4.0,2.9,5.4
Georgia,3.2,2.6,4.0
Hawaii,3.8,2.9,4.9
Idaho,3.0,2.1,4.4
Illinois,2.5,1.8,3.4
Indiana,3.8,2.8,5.0
Iowa,3.1,2.5,3.9
Kansas,3.7,3.0,4.6
Kentucky,3.7,2.7,4.9
Louisiana,3.5,2.7,4.7
Maine,3.2,2.4,4.4
Maryland,3.4,2.7,4.3
Massachusetts,2.8,2.0,3.8
Michigan,3.1,2.5,4.0
Minnesota,2.4,2.0,2.9
Mississippi,4.8,3.7,6.2
Missouri,3.6,2.6,4.9
Montana,2.7,1.9,3.9
Nebraska,2.9,2.4,3.6
Nevada,2.3,1.5,3.6
New Hampshire,2.3,1.6,3.5
New Jersey,3.3,2.0,5.4
New Mexico,4.3,3.4,5.4
New York,2.9,2.4,3.4
North Carolina,2.9,2.1,4.1
North Dakota,2.6,1.7,3.9
Ohio,3.6,2.8,4.6
Oklahoma,3.6,2.7,4.9
Oregon,5.0,3.9,6.5
Pennsylvania,4.2,3.2,5.4
Rhode Island,2.4,1.6,3.7
South Carolina,3.9,3.1,4.8
South Dakota,3.2,2.1,4.8
Tennessee,3.9,2.8,5.3
Texas,2.8,2.1,3.9
Utah,2.3,1.9,2.9
Vermont,2.1,1.4,2.9
Virginia,2.9,2.3,3.7
Washington,2.6,2.0,3.2
West Virginia,4.0,2.9,5.3
Wisconsin,1.6,1.0,2.4
Wyoming,2.6,1.7,4.0
Guam,4.9,2.9,8.2
Puerto Rico,3.0,2.2,4.0
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
