Diagnosed Diabetes; 65-74 (Age); Adults Aged 18+ Years; Percentage; U.S. States; 2018
Data downloaded on 30-July-2021
State,Percentage,Lower Limit, Upper Limit
Median of States,23.0,21.8,24.9
Alabama,29.5,26.6,32.6
Alaska,17.3,13.6,21.9
Arizona,22.9,20.0,26.2
Arkansas,28.6,25.6,31.8
California,24.9,21.8,28.2
Colorado,16.3,14.4,18.4
Connecticut,18.9,16.6,21.4
Delaware,22.5,19.6,25.7
District of Columbia,19.9,17.0,23.2
Florida,25.4,22.6,28.5
Georgia,29.9,27.2,32.8
Hawaii,21.3,18.5,24.3
Idaho,21.9,18.4,25.8
Illinois,23.8,20.6,27.3
Indiana,27.3,24.7,29.9
Iowa,21.1,19.0,23.3
Kansas,26.3,24.2,28.5
Kentucky,27.9,24.6,31.5
Louisiana,26.8,23.2,30.8
Maine,18.8,17.0,20.7
Maryland,23.0,21.1,24.9
Massachusetts,19.0,16.3,22.0
Michigan,22.1,19.7,24.7
Minnesota,19.2,17.6,21.0
Mississippi,32.8,29.5,36.2
Missouri,23.9,21.1,26.9
Montana,16.4,13.7,19.5
Nebraska,18.6,16.8,20.6
Nevada,24.3,19.8,29.5
New Hampshire,18.2,15.9,20.8
New Jersey,27.4,21.2,34.7
New Mexico,23.3,20.4,26.6
New York,24.9,22.5,27.5
North Carolina,27.5,23.5,31.8
North Dakota,22.8,19.9,25.9
Ohio,24.6,22.3,27.0
Oklahoma,25.5,22.5,28.6
Oregon,18.2,15.7,20.9
Pennsylvania,21.0,18.1,24.3
Rhode Island,22.9,19.9,26.2
South Carolina,26.1,24.0,28.4
South Dakota,21.7,18.3,25.6
Tennessee,28.7,25.1,32.7
Texas,31.9,26.8,37.4
Utah,21.8,19.3,24.6
Vermont,18.3,15.8,21.1
Virginia,23.6,21.3,26.1
Washington,20.2,18.3,22.2
West Virginia,29.6,26.6,32.8
Wisconsin,18.3,15.1,21.9
Wyoming,17.3,14.9,20.1
Guam,31.2,24.0,39.4
Puerto Rico,37.3,33.4,41.3
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
